t,MV,PV
1.050000000000000000e+02,1.000000000000000000e+00,2.230000000000000315e-01
1.060000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.070000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.080000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.090000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.100000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.110000000000000000e+02,1.000000000000000000e+00,2.269999999999999518e-01
1.120000000000000000e+02,1.000000000000000000e+00,2.320000000000000395e-01
1.130000000000000000e+02,1.000000000000000000e+00,2.334999999999999021e-01
1.140000000000000000e+02,1.000000000000000000e+00,2.334999999999999021e-01
1.150000000000000000e+02,1.000000000000000000e+00,2.334999999999999021e-01
1.160000000000000000e+02,1.000000000000000000e+00,2.342499999999999305e-01
1.170000000000000000e+02,1.000000000000000000e+00,2.342499999999999305e-01
1.180000000000000000e+02,1.000000000000000000e+00,2.367499999999999605e-01
1.190000000000000000e+02,1.000000000000000000e+00,2.392500000000000182e-01
1.200000000000000000e+02,1.000000000000000000e+00,2.400000000000000466e-01
1.210000000000000000e+02,1.000000000000000000e+00,2.417500000000000482e-01
1.220000000000000000e+02,1.000000000000000000e+00,2.417500000000000482e-01
1.230000000000000000e+02,1.000000000000000000e+00,2.417500000000000482e-01
1.240000000000000000e+02,1.000000000000000000e+00,2.439999999999999392e-01
1.250000000000000000e+02,1.000000000000000000e+00,2.490000000000000269e-01
1.260000000000000000e+02,1.000000000000000000e+00,2.497500000000000553e-01
1.270000000000000000e+02,1.000000000000000000e+00,2.497500000000000553e-01
1.280000000000000000e+02,1.000000000000000000e+00,2.504999999999998894e-01
1.290000000000000000e+02,1.000000000000000000e+00,2.512499999999999178e-01
1.300000000000000000e+02,1.000000000000000000e+00,2.504999999999998894e-01
1.310000000000000000e+02,1.000000000000000000e+00,2.504999999999998894e-01
1.320000000000000000e+02,1.000000000000000000e+00,2.577500000000000346e-01
1.330000000000000000e+02,1.000000000000000000e+00,2.577500000000000346e-01
1.340000000000000000e+02,1.000000000000000000e+00,2.545000000000000040e-01
1.350000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.360000000000000000e+02,1.000000000000000000e+00,2.592499999999999249e-01
1.370000000000000000e+02,1.000000000000000000e+00,2.584999999999998965e-01
1.380000000000000000e+02,1.000000000000000000e+00,2.609999999999999543e-01
1.390000000000000000e+02,1.000000000000000000e+00,2.584999999999998965e-01
1.400000000000000000e+02,1.000000000000000000e+00,2.642499999999999849e-01
1.410000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.420000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.430000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.440000000000000000e+02,1.000000000000000000e+00,2.650000000000000133e-01
1.450000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.460000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.470000000000000000e+02,1.000000000000000000e+00,2.664999999999999036e-01
1.480000000000000000e+02,1.000000000000000000e+00,2.722499999999999920e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.737499999999998823e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.737499999999998823e-01
1.510000000000000000e+02,1.000000000000000000e+00,2.737499999999998823e-01
1.520000000000000000e+02,1.000000000000000000e+00,2.737499999999998823e-01
1.530000000000000000e+02,1.000000000000000000e+00,2.747500000000000497e-01
1.540000000000000000e+02,1.000000000000000000e+00,2.754999999999999116e-01
1.550000000000000000e+02,1.000000000000000000e+00,2.779999999999999138e-01
1.560000000000000000e+02,1.000000000000000000e+00,2.802499999999999991e-01
1.570000000000000000e+02,1.000000000000000000e+00,2.802499999999999991e-01
1.580000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.590000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.600000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.610000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.620000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.630000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.640000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.650000000000000000e+02,1.000000000000000000e+00,2.842499999999999472e-01
1.660000000000000000e+02,1.000000000000000000e+00,2.852499999999998925e-01
1.670000000000000000e+02,1.000000000000000000e+00,2.882500000000000062e-01
1.680000000000000000e+02,1.000000000000000000e+00,2.882500000000000062e-01
1.690000000000000000e+02,1.000000000000000000e+00,2.900000000000000355e-01
1.700000000000000000e+02,1.000000000000000000e+00,2.900000000000000355e-01
1.710000000000000000e+02,1.000000000000000000e+00,2.900000000000000355e-01
1.720000000000000000e+02,1.000000000000000000e+00,2.900000000000000355e-01
1.730000000000000000e+02,1.000000000000000000e+00,2.900000000000000355e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.900000000000000355e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.914999999999999258e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.907500000000000639e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.907500000000000639e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.924999999999998712e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.964999999999999858e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.997500000000000719e-01
1.880000000000000000e+02,1.000000000000000000e+00,3.027499999999999636e-01
1.890000000000000000e+02,1.000000000000000000e+00,3.037499999999999645e-01
